,cases,R_mean,R_var,Q0.025,Q0.5,Q0.975
2020-03-13,9.0,1.9643990871568213,0.030933282408775527,1.6341542770947943,1.9590490241218288,2.3263381879453937
2020-03-14,36.0,1.7386370420290436,0.022036018283582044,1.4624179058530473,1.7346490327927384,2.040609836651429
2020-03-15,22.0,1.6204934354890037,0.01743870220194576,1.3741251132464405,1.6170638751075757,1.8918087686335154
2020-03-16,2.0,1.5891060157993895,0.014782648076175662,1.360607681718479,1.5858108821283434,1.8344116376126733
2020-03-17,38.0,1.6330508330477231,0.01333634321021137,1.4142542907921791,1.6304337598663188,1.8648317469020044
2020-03-18,11.0,1.720338074800821,0.012561028010248696,1.5122090209330379,1.7180486671688548,1.9434364535493103
2020-03-19,13.0,1.8455458876709576,0.011992456970836493,1.6419381119974379,1.843444724908231,2.066238050853653
2020-03-20,12.0,1.9779800471577786,0.011146388993953031,1.775302166431304,1.9760676600837883,2.1898362593968246
2020-03-21,55.0,2.065866103711259,0.009911967762361494,1.8727372174718457,2.064215356345268,2.266687913131083
2020-03-22,55.0,2.0724925845221254,0.00829210204797775,1.8978962280762164,2.0711339671654123,2.252095796993957
2020-03-23,65.0,1.9792592158157498,0.00657490858039622,1.8229573680286668,1.978142723217676,2.1415049587124244
2020-03-24,68.0,1.81344366288387,0.0049949818708280025,1.6767857685774958,1.812509080570654,1.955435753264605
2020-03-25,63.0,1.6161856492920643,0.0037216565328757785,1.499209051893362,1.6154280141773687,1.7381340493496942
2020-03-26,47.0,1.4242579797631283,0.002809635117569111,1.3229959554603292,1.4236002929149612,1.5299658278041663
2020-03-27,77.0,1.259125701388867,0.002184987930192138,1.1693552087772794,1.2585498107189936,1.352079570375356
2020-03-28,186.0,1.121647206285092,0.0017769940031268539,1.0405794361958964,1.1211154223340265,1.2056159733508678
2020-03-29,256.0,1.0126108341937372,0.0015106205115360215,0.9379938587492596,1.0121160598360261,1.089990130929384
2020-03-30,69.0,0.9236347166899768,0.001333657749727375,0.8535927932045805,0.9231611277501318,0.9964537564801272
2020-03-31,403.0,0.8537286750562739,0.0012234729589935458,0.7865639971420052,0.8532513729863183,0.9236057637763254
2020-04-01,157.0,0.7984075658138237,0.0011556332289823666,0.732862101597147,0.7979206064202423,0.8662373254040008
2020-04-02,233.0,0.7561544009088184,0.001130007664258795,0.6920130086955347,0.7556596845916792,0.8230406031776659
2020-04-03,287.0,0.7292783946739965,0.0011514266346990608,0.6640314186280147,0.7287480574878169,0.7972271360869259
2020-04-04,49.0,0.7213392662254436,0.00121861197113494,0.6542654683226621,0.7207700744556464,0.7915490232508104
2020-04-05,104.0,0.7302142707373831,0.0013300824422916115,0.6610598224062507,0.7296033609527167,0.8034548689611052
2020-04-06,307.0,0.7564802685415358,0.0014943561075001326,0.6833190051739553,0.7558311268286819,0.8347616279320346
2020-04-07,58.0,0.7962808241882298,0.001690452197924364,0.7165953047337268,0.7955566579541843,0.8794436969809932
2020-04-08,74.0,0.8438346471761398,0.0019294014187562145,0.7604283904161686,0.8430818708572995,0.9314467501186874
2020-04-09,155.0,0.8885568551248728,0.0021737905499304676,0.8002178175599568,0.8877380907797205,0.9820868339454227
2020-04-10,70.0,0.9273817788995102,0.002385889350395607,0.8344123660874236,0.926518784521146,1.025300971394417
2020-04-11,158.0,0.957052912813173,0.002548290144543013,0.8601498969691532,0.9561575197278112,1.0586675195394935
2020-04-12,146.0,0.9711992098332102,0.0026260806238095134,0.8732408683702821,0.9702889038174254,1.074709983782347
2020-04-13,192.0,0.9731272279803387,0.0026536185745723523,0.8742183492933591,0.9721857433044439,1.0766372483427733
2020-04-14,193.0,0.9634108837439054,0.0026546692156069517,0.8646730447781974,0.9624995826806344,1.066251218890597
2020-04-15,174.0,0.9454562369204549,0.002632865596621928,0.8466875101012801,0.9445245319251376,1.0486070924670117
2020-04-16,112.0,0.9250596565788766,0.002595587459258984,0.8279101160527244,0.9240985064248058,1.0283425176108123
2020-04-17,137.0,0.9116848769340532,0.002588888031219978,0.8138291467226191,0.9107762325969759,1.014288454263168
2020-04-18,140.0,0.9126113702569563,0.0026448582094229455,0.8140910191007491,0.9116352863069215,1.0150590027547106
2020-04-19,119.0,0.9297477314511028,0.0027631017104014083,0.8294976497188324,0.9287378304749653,1.03611341188754
2020-04-20,134.0,0.9640529808301568,0.0029411967154226214,0.8595710095832735,0.9630069381724724,1.073647724988662
2020-04-21,73.0,1.0060747648175221,0.0031383571928098,0.8983245139158242,1.0050299311014068,1.119741268015312
2020-04-22,71.0,1.0460103527500468,0.003306976007223619,0.9376814118124137,1.0449987481228153,1.1610674249765567
2020-04-23,98.0,1.0744292935584447,0.0033998373682452834,0.9635006743825475,1.0733796391092287,1.191585117452788
2020-04-24,149.0,1.0965871747833327,0.003476323570993668,0.9852748064939828,1.0954912227816154,1.2155657633092518
2020-04-25,51.0,1.1150566164400206,0.0034841914758743475,1.003173473094615,1.1140623450974072,1.23354877845577
2020-04-26,153.0,1.1294085003443368,0.003443797442554992,1.0185818559402997,1.1284190602782234,1.2464956682727064
2020-04-27,122.0,1.1302221364719622,0.003350394042637387,1.0194192162840445,1.1292221360474821,1.2467411857874298
2020-04-28,123.0,1.1133942173858034,0.003198481920262188,1.0058337012276986,1.112446575184559,1.2262217383722627
2020-04-29,191.0,1.077562073143316,0.003005599861107068,0.973241247326275,1.0766289559845303,1.1883273477400862
2020-04-30,149.0,1.0394067737822834,0.0028147652716655476,0.9376135698235677,1.0385315313605448,1.1465699891351153
2020-05-01,124.0,1.0054291731211937,0.002667920940175655,0.9064316601420088,1.0045363344465867,1.108639719631658
2020-05-02,49.0,0.9821081829180749,0.002574103606377258,0.8851989036394301,0.9812514030395421,1.0846347527063909
2020-05-03,121.0,0.9811100385671195,0.002564765700590869,0.8827581645150049,0.980199458539807,1.0846555093173738
2020-05-04,121.0,0.9957347255598161,0.0026226667974540937,0.8975956856570416,0.9948584019508095,1.0984886283995907
2020-05-05,170.0,1.02171431948336,0.0027019175203958743,0.923246440554653,1.0208562559385177,1.1263174025504141
2020-05-06,171.0,1.046641284134037,0.0027712252398827725,0.9469887401264194,1.0457575460896766,1.152871244365532
2020-05-07,93.0,1.0666500347304755,0.002817048065996494,0.9638638300370457,1.065772176242021,1.1730674229878963
2020-05-08,74.0,1.075464838521577,0.0028245549024964265,0.9735453505423048,1.0745996751497797,1.1814598240867922
2020-05-09,101.0,1.0751560324142737,0.002792466275859183,0.9740736267671136,1.0742905413950972,1.1815989221996754
2020-05-10,85.0,1.0746906521617525,0.0027361651069591477,0.9734378810998586,1.0738172390106078,1.1808784647977504
2020-05-11,169.0,1.071565539957754,0.0026845627637705075,0.9718883632932358,1.0707125338094916,1.1766095756578148
2020-05-12,154.0,1.0726035235572162,0.0026400629385009353,0.9749543626222863,1.0717811048398673,1.175749503153661
2020-05-13,147.0,1.073709958130547,0.0026071913128729598,0.9764269039019879,1.0729056971613147,1.1758794346572863
2020-05-14,173.0,1.079092672957564,0.0025854052398953664,0.9819435820657352,1.0782978341032265,1.1805723336072267
2020-05-15,119.0,1.0914074363930633,0.0025766795582268113,0.9949590251063081,1.0906335566631202,1.1925977347221335
2020-05-16,122.0,1.1207199212503163,0.0025938678303102478,1.0232227290635991,1.1199558710327293,1.2231046928047613
2020-05-17,151.0,1.1785396279000002,0.0026596162814696445,1.0790953069362343,1.1777762779020944,1.2826218849861655
2020-05-18,117.0,1.266630122001398,0.0027792587162873143,1.1647184197601765,1.2658930729033784,1.37289139907324
2020-05-19,161.0,1.3732335140520489,0.002915089342102153,1.2688339533165147,1.3725349132475277,1.4801996457911994
2020-05-20,149.0,1.469678859505279,0.0029499236911727815,1.3650184377062422,1.4690209973614081,1.5780419990421937
2020-05-21,93.0,1.5148581054604855,0.0028211557723434506,1.4125324112858955,1.5142388571409318,1.6208913807679903
2020-05-22,91.0,1.5006966740426848,0.002546796792339702,1.4040718800506435,1.5001419302536263,1.6008968765023859
2020-05-23,110.0,1.4330911794796029,0.002176271952185854,1.343091493178599,1.4325852646128028,1.5256091562783314
2020-05-24,186.0,1.3281448237575924,0.0018132030976881208,1.2458107561837122,1.3276866448845048,1.412831037762889
2020-05-25,161.0,1.2193088926600804,0.0015176905653041153,1.1441878836406416,1.2188893637370757,1.2970505386824902
2020-05-26,243.0,1.1188166623194218,0.0012903304438760723,1.049350218949254,1.118430434891739,1.190657963825012
2020-05-27,256.0,1.033123743095055,0.0011310203249878755,0.9684060034195293,1.032756976284904,1.0999646952295803
2020-05-28,324.0,0.9594695855172921,0.001021124865805508,0.8976342337941332,0.9591080283897406,1.0232866657129898
2020-05-29,584.0,0.9004003285126496,0.0009473786610657193,0.8411442673976746,0.9000507852489166,0.9616142484320007
2020-05-30,383.0,0.8503120960046666,0.0009004268396049472,0.7921823319322994,0.8499594239869592,0.9104140482263433
2020-05-31,274.0,0.8084419226658776,0.0008750649197842709,0.7515867184229333,0.8080853353932821,0.8674727384229799
2020-06-01,213.0,0.78047574454262,0.0008761896808196835,0.7236648788665967,0.7801037353532935,0.839631528865551
2020-06-02,163.0,0.7672676245073942,0.0009069717768907595,0.7094759894082345,0.7668704186327948,0.8267470227526179
2020-06-03,257.0,0.7764741255277996,0.0009728927847217643,0.7162384887228899,0.7760571183890737,0.8385709304615508
2020-06-04,265.0,0.811737549977305,0.0010834808042385214,0.7480115868884687,0.8112937012267651,0.8776988914448458
2020-06-05,48.0,0.8657990606223472,0.0012324081250970655,0.7986050264997254,0.8653264686649307,0.9357985405751132
2020-06-06,290.0,0.9319004880153123,0.0013983394879342795,0.8596939720774928,0.9313958871870551,1.0067789323964136
2020-06-07,172.0,0.9968029184504777,0.0015631577719187122,0.9208839622476569,0.996276176007051,1.0768728244611026
2020-06-08,255.0,1.052455292192987,0.0016861565375303547,0.9729488058461739,1.0519157243397381,1.1347379317372173
2020-06-09,222.0,1.0917930336461432,0.0017591776083145673,1.0111097391965076,1.091255752608947,1.1755593383419185
2020-06-10,240.0,1.1178616611597205,0.0017896042408772407,1.0369642536764592,1.117334551244066,1.201695987681309
2020-06-11,182.0,1.1350308476055637,0.0017779598938620481,1.053765369639299,1.1345044957130126,1.2194953350926614
2020-06-12,290.0,1.149519256037618,0.0017458613154044712,1.0694501261959797,1.1490161093079498,1.2325646738737341
2020-06-13,287.0,1.1626048814376195,0.0017104974346203255,1.0823758113169797,1.1620978468049334,1.245691087694829
2020-06-14,262.0,1.1795002594970765,0.0016765102727765995,1.1007520310081542,1.1790199678695163,1.2608884785225132
2020-06-15,217.0,1.198736803723893,0.0016425432022052072,1.120183147037317,1.1982816898868855,1.2790888521626886
2020-06-16,191.0,1.219305490948263,0.0016038329656794035,1.1420046788052174,1.218866351576962,1.2988855648049222
2020-06-17,197.0,1.2385837546730114,0.0015580152586870915,1.1620780859936146,1.2381603166680577,1.3173272756312393
2020-06-18,192.0,1.2560418260270754,0.0015070798899968964,1.181418273462807,1.2556395983902942,1.3330746409811216
2020-06-19,287.0,1.269877749155191,0.0014496202591905095,1.1964837192322646,1.2694982765240006,1.345257118221358
2020-06-20,301.0,1.2733168256922425,0.0013768514861286977,1.2020709644606202,1.2729551860134771,1.347054851954941
2020-06-21,269.0,1.2682888188666868,0.0012898808654246076,1.198837588126112,1.2679495531304719,1.3394589296443793
2020-06-22,181.0,1.2565940064764143,0.0012028586876055832,1.189347277747468,1.2562786824704772,1.325622400152572
2020-06-23,476.0,1.2547103500851033,0.0011278537664251224,1.1896357541980775,1.2544096003621372,1.3214475775006753
2020-06-24,247.0,1.2705903334414328,0.0010780552600896899,1.2069086543226353,1.2703062658794393,1.335889279714791
2020-06-25,468.0,1.3139187707161775,0.0010513768541438183,1.251407997408881,1.3136529281368943,1.3781169378447151
2020-06-26,391.0,1.3756087582399346,0.0010379974488211748,1.3134562472655924,1.37535948013568,1.4391778864129519
2020-06-27,323.0,1.4358567351572407,0.00101588367024179,1.3740879179735683,1.435615785723008,1.499682684612395
2020-06-28,366.0,1.4763245518720534,0.0009633593449798797,1.4163150825944846,1.4761085277629964,1.5379579435840558
2020-06-29,549.0,1.476436162147258,0.0008795241845348751,1.4191558750981033,1.4762402594587625,1.5347409337783535
2020-06-30,347.0,1.437883978317383,0.0007760296136997559,1.3835851281831002,1.4377028970582568,1.4931738412332316
2020-07-01,349.0,1.375003095046937,0.0006714883302869645,1.3242467101945905,1.3748385301449353,1.4261947902699994
2020-07-02,123.0,1.3018876673174895,0.0005775049364351898,1.2551064236859713,1.3017410279206838,1.3492085326521317
2020-07-03,666.0,1.2281383708951203,0.0005015741972291144,1.1846867793624816,1.2280027146341337,1.2723409526055551
2020-07-04,635.0,1.1609387788626293,0.0004432938969220584,1.1201972379287388,1.1608126677582753,1.2023804208590176
2020-07-05,1174.0,1.1106626009276424,0.00040176142980912226,1.0715730407860005,1.1105411005221606,1.1504177530882838
2020-07-06,1014.0,1.0780455171972096,0.00037467326332393585,1.040386698687817,1.0779293491608446,1.1162568519905731
2020-07-07,866.0,1.0601258199437074,0.00035766927674478325,1.0235156170977615,1.0600142002962158,1.0973703455205128
2020-07-08,1352.0,1.0537267188827326,0.00034818765127368035,1.0174805935785773,1.053616652162938,1.0905983418126466
2020-07-09,625.0,1.0557369720406262,0.00034417156916088227,1.0196158322929159,1.0556278809147681,1.0924080283602886
2020-07-10,688.0,1.062063810152217,0.0003418295952839137,1.0258904794706543,1.0619543674264713,1.0988958258568642
2020-07-11,779.0,1.0699466957334507,0.0003400850317695262,1.034153825963081,1.069841111257141,1.1063372788189634
2020-07-12,1127.0,1.077280928241429,0.0003374414389137133,1.0414120106194855,1.0771755389565794,1.1137180722500064
2020-07-13,523.0,1.0842875342037508,0.00033445508997641976,1.0488268551552362,1.0841847417070034,1.1204086066167847
2020-07-14,346.0,1.0893473440373964,0.00033062318163975873,1.0542705034893167,1.0892477450511011,1.1250188428095989
2020-07-15,603.0,1.095478561336034,0.00032624796981098694,1.0603081164260921,1.0953788110033131,1.1312482672573698
2020-07-16,1641.0,1.0973800100706739,0.0003198125887542922,1.0626139546097768,1.097282907714083,1.1327264525178342
2020-07-17,968.0,1.0930976655722997,0.00031117299557109634,1.0587673338884984,1.0930030497670034,1.1278897914811252
2020-07-18,1582.0,1.0828104917887853,0.00030098962448846364,1.048994874479364,1.0827172578994095,1.117305293472512
2020-07-19,1470.0,1.0698570021093758,0.0002910195098045102,1.0365146750562682,1.0697654141848558,1.1035118211658856
2020-07-20,1155.0,1.0654167899469034,0.00028378082819911375,1.0326315088697973,1.0653278902737302,1.098792947495586
2020-07-21,1332.0,1.0781753602055582,0.0002820526179804634,1.0455603019805058,1.078088444770543,1.111284350179485
2020-07-22,754.0,1.1137468277866942,0.00028719340831825116,1.080731305965375,1.1136606364464186,1.1472521664586477
2020-07-23,1282.0,1.1722262327592472,0.00029694234778286725,1.1386881065383663,1.1721416261963284,1.2061953305869118
2020-07-24,1144.0,1.242812368196176,0.00030659695650310395,1.2086758823899486,1.2427298843796275,1.2774176015587868
2020-07-25,990.0,1.3098786570124075,0.0003108208221960715,1.2755254632158635,1.3097997668872006,1.3446350199124733
2020-07-26,1138.0,1.3554336098514304,0.0003057405063245595,1.3214257289221272,1.3553586871220467,1.389856278546194
2020-07-27,1032.0,1.3713599836198906,0.0002896447003542034,1.3383313217969997,1.371290123126247,1.4049047646332367
2020-07-28,783.0,1.3601495476926329,0.00026613650683296366,1.3283680488531306,1.360084354853761,1.3923015313928446
2020-07-29,793.0,1.3303919445151475,0.0002402184574124171,1.3001395544241663,1.330331571718392,1.3609874276474394
2020-07-30,1862.0,1.2934640348859126,0.0002156386684421278,1.2648406515154043,1.2934085887035445,1.3223698669652721
2020-07-31,2258.0,1.2528723070409225,0.00019421446329280544,1.2257566606694041,1.2528208321229712,1.2802804806759802
2020-08-01,2603.0,1.2100852422351878,0.00017550376268245758,1.184242795071218,1.2100368411788205,1.236202748199021
2020-08-02,2656.0,1.1635380182389754,0.00015925365582821087,1.1389442313235536,1.163492009379917,1.1884728565888367
2020-08-03,1532.0,1.115985025698691,0.0001452341441390724,1.0924184857600718,1.1159413859115104,1.1397523164587242
2020-08-04,2957.0,1.0683206377351047,0.00013372223675760676,1.0457217128660847,1.0682787169296335,1.091157794734574
2020-08-05,2359.0,1.0256460910720757,0.00012471609494179512,1.0038743564730237,1.0256055229496168,1.0476589833799705
2020-08-06,1994.0,0.9908439813262067,0.0001182132530754327,0.9696121757128771,0.9908040783491124,1.0123030910785644
2020-08-07,1802.0,0.9663173702564307,0.00011428172732732063,0.9455057404328663,0.9662780577434971,0.9873770239391442
2020-08-08,2685.0,0.9530468971617887,0.0001128292562475122,0.9323534251301959,0.9530074850153578,0.9739579336940001
2020-08-09,1650.0,0.9492610270758255,0.00011313607333613145,0.9285213715579879,0.9492212783057141,0.9702265712218583
2020-08-10,4150.0,0.9515297808814995,0.00011479270211662041,0.9306956735766286,0.9514897639215596,0.9725931725931813
2020-08-11,1451.0,0.9554649620941693,0.00011666631436577221,0.9344313576638197,0.9554242701752749,0.9767504515656605
2020-08-12,2519.0,0.9539804148630904,0.0001179752250902102,0.9328622253152243,0.9539393990275573,0.9753646240603022
2020-08-13,2387.0,0.9445452408283034,0.00011820295244592617,0.9233834344085605,0.944503509703879,0.9659602920397812
2020-08-14,3779.0,0.927405473856985,0.00011746971517349894,0.9062915349307986,0.9273630658049362,0.9487749977524229
2020-08-15,2413.0,0.9064305829993462,0.0001163012735615619,0.8853549473391751,0.9063875660320065,0.92771740844981
2020-08-16,2016.0,0.8865576420968242,0.00011573065487629373,0.8656145891872922,0.8865142040003113,0.9077956121108244
2020-08-17,1890.0,0.8711626092177019,0.00011634464985452322,0.8501112929530312,0.8711179334863708,0.8924678134903414
2020-08-18,2907.0,0.8605042790841875,0.00011823700407772789,0.839322193182827,0.8604585891289604,0.8819598773267693
2020-08-19,2995.0,0.8552113609876268,0.00012157549131140709,0.833777101710129,0.8551641598465659,0.8769138599009161
2020-08-20,2520.0,0.8543322544964418,0.0001258975257903922,0.8325002005611655,0.8542832225485077,0.8764429523471624
2020-08-21,2662.0,0.8535060417496585,0.00013067810688202402,0.8313105890815342,0.8534553033624384,0.8760268099965636
2020-08-22,2778.0,0.8494060391072804,0.00013517932382113587,0.82671308389205,0.8493524976821989,0.8724513377000924
2020-08-23,1001.0,0.8396752690684066,0.00013907601471636644,0.816796494141025,0.8396204343598653,0.8629462794537308
