channel,date,min,max,mean,stDev
1,2020-01-01,0.0,1.0,0.3391791718237309,0.3869510480095628
1,2020-01-02,0.0,1.0,0.7214241024197603,0.3735419673565474
1,2020-01-03,0.0,1.0,0.4818674392826594,0.3553379680831962
1,2020-01-04,0.0,1.0,0.7729350950234753,0.19010425972871653
1,2020-01-05,0.04588959738612175,1.0,0.6415594034333143,0.3056123651321145
1,2020-01-06,0.0,1.0,0.6167001298069955,0.31078723781937295
1,2020-01-07,NaN,NaN,NaN,NaN
1,2020-01-08,0.0,1.0,0.47026520334184185,0.4541459448905629
1,2020-01-09,0.0,1.0,0.561487310308868,0.3257144990088853
1,2020-01-10,0.0,1.0,0.7509794377032181,0.3268658514053239
1,2020-01-11,0.0,1.0,0.47062107539714726,0.3271868511248721
1,2020-01-12,0.0,1.0,0.5801210414240328,0.3304445114334822
1,2020-01-13,NaN,NaN,NaN,NaN
1,2020-01-14,NaN,NaN,NaN,NaN
1,2020-01-15,NaN,NaN,NaN,NaN
1,2020-01-16,0.0,1.0,0.22707390173085631,0.3550129953336583
1,2020-01-17,0.8725532293319702,0.8725532293319702,0.8725532293319702,0.0
1,2020-01-18,0.0,0.8808909058570862,0.23167778916504916,0.3441054068337954
1,2020-01-19,NaN,NaN,NaN,NaN
1,2020-01-20,0.21148991584777832,1.0,0.6250164819470901,0.2114990298890163
1,2020-01-21,0.0,1.0,0.7515262270250639,0.25556472401189334
1,2020-01-22,0.0,1.0,0.6803409197594521,0.2999271126289291
1,2020-01-23,0.0,1.0,0.5445527638988884,0.43067093759864755
1,2020-01-24,NaN,NaN,NaN,NaN
1,2020-01-25,NaN,NaN,NaN,NaN
1,2020-01-26,0.0,1.0,0.37479345391436336,0.47793991971367633
1,2020-01-27,0.0,1.0,0.4747655436306293,0.43242141508618914
1,2020-01-28,0.0,1.0,0.3035890447912296,0.4214701308577813
1,2020-01-29,0.0,1.0,0.09948014514056026,0.2597240797477265
1,2020-01-30,0.8111370205879211,1.0,0.8502121197766271,0.07650474676119323
1,2020-01-31,NaN,NaN,NaN,NaN
1,2020-02-01,0.0,1.0,0.7415958780860692,0.2426206061118987
1,2020-02-02,0.35319778323173523,0.9068846702575684,0.5651648834995601,0.24543286110242904
1,2020-02-03,NaN,NaN,NaN,NaN
1,2020-02-04,0.10572441667318344,1.0,0.7129070391257608,0.2466206552051119
1,2020-02-05,0.0,1.0,0.5647470287787604,0.28465491609403787
1,2020-02-06,NaN,NaN,NaN,NaN
1,2020-02-07,NaN,NaN,NaN,NaN
1,2020-02-08,0.2608553171157837,1.0,0.3347697854042053,0.22174340486526486
1,2020-02-09,NaN,NaN,NaN,NaN
1,2020-02-10,NaN,NaN,NaN,NaN
1,2020-02-11,0.0,1.0,0.7121054048904636,0.2529083013592333
1,2020-02-12,0.0,1.0,0.6499024756169047,0.33129129565489873
1,2020-02-13,NaN,NaN,NaN,NaN
1,2020-02-14,0.0,1.0,0.5523585037479545,0.4154714156270554
1,2020-02-15,0.0,1.0,0.616108496710212,0.3165177587094148
1,2020-02-16,0.301893025636673,1.0,0.7457701056974912,0.26052151327997675
1,2020-02-17,NaN,NaN,NaN,NaN
1,2020-02-18,0.0,1.0,0.5897276662724272,0.34777452416071536
1,2020-02-19,0.0,1.0,0.6676085386285208,0.3502898424686239
1,2020-02-20,0.0,1.0,0.5800449341583531,0.3686336155745976
1,2020-02-21,0.0,1.0,0.5892828888541395,0.3696316891744175
1,2020-02-22,0.0,1.0,0.4660295815506632,0.3948846360796035
1,2020-02-23,0.0,0.9196088910102844,0.43589970995704636,0.2586018546094419
1,2020-02-24,0.0,0.34719744324684143,0.11573248108228051,0.16367044435364872
1,2020-02-25,0.0,1.0,0.5860833910626375,0.3784647304926909
1,2020-02-26,0.0,0.4892709255218506,0.021272648935732635,0.09977756782135144
1,2020-02-27,0.0,1.0,0.44662556923558977,0.3179253555006489
1,2020-02-28,0.0,1.0,0.6562684686303885,0.3595463223354338
1,2020-02-29,0.0,1.0,0.5439997689276552,0.4157072407700225
1,2020-03-01,0.0,1.0,0.38122461369111565,0.3949013911983319
1,2020-03-02,0.0,1.0,0.6232639661698683,0.37141354841877233
1,2020-03-03,0.004856106825172901,0.9143651127815247,0.3472619038896965,0.3091869926640857
1,2020-03-04,NaN,NaN,NaN,NaN
1,2020-03-05,0.0,1.0,0.2985490395850957,0.4205891578916595
1,2020-03-06,0.0,1.0,0.43640477071440426,0.4043124368388375
1,2020-03-07,0.0,1.0,0.4133998128905225,0.45675849443848604
1,2020-03-08,0.0,1.0,0.508779746358809,0.4306962514361707
1,2020-03-09,0.0,1.0,0.7070542687734408,0.34475241059710876
1,2020-03-10,0.0,1.0,0.38919543679289925,0.44614203464575386
1,2020-03-11,0.011551333591341972,0.7680261135101318,0.3456971818246903,0.2354232520587076
1,2020-03-12,0.0,1.0,0.6180989741557441,0.35649867617362435
1,2020-03-13,0.07159053534269333,1.0,0.6812788755025556,0.3219102197691476
1,2020-03-14,0.0,1.0,0.6759043937197194,0.38883284035959365
1,2020-03-15,0.5421533584594727,1.0,0.9192462169493623,0.13753107168318482
1,2020-03-16,NaN,NaN,NaN,NaN
1,2020-03-17,0.3558404743671417,0.3558404743671417,0.3558404743671417,0.0
1,2020-03-18,0.017606858164072037,0.9638416171073914,0.48810533763129194,0.34261551370130616
1,2020-03-19,0.0,1.0,0.4307720425840806,0.3456307929968515
1,2020-03-20,0.0,1.0,0.40332664121960393,0.39192794272981213
1,2020-03-21,0.0467500165104866,1.0,0.5966622121695996,0.29050125346802225
