channel,date,min,max,mean,stDev
1,2020-09-14,0.0,0.8683199286460876,0.20825964360605945,0.20172808941379214
1,2020-09-15,NaN,NaN,NaN,NaN
1,2020-09-16,NaN,NaN,NaN,NaN
1,2020-09-17,NaN,NaN,NaN,NaN
1,2020-09-18,0.0,1.0,0.4907316932499054,0.36767730711701835
1,2020-09-19,0.0,1.0,0.6246486904076187,0.3661145047380587
1,2020-09-20,0.0,1.0,0.45165687157724926,0.38717521745585937
1,2020-09-21,0.3436415493488312,1.0,0.7422748077909148,0.23594547447460018
1,2020-09-22,0.0,1.0,0.36284981656833504,0.40474371402490783
1,2020-09-23,0.0,1.0,0.8234527957054872,0.2776515736622463
1,2020-09-24,0.0,1.0,0.57325385504921,0.44172032662488164
1,2020-09-25,NaN,NaN,NaN,NaN
1,2020-09-26,0.48451051115989685,1.0,0.8455400055231056,0.18644026488259216
1,2020-09-27,0.0,1.0,0.630981285504017,0.35415461227228623
1,2020-09-28,0.0,1.0,0.5853348024666103,0.4453426777640092
1,2020-09-29,0.0,1.0,0.576710805582674,0.4442241460599736
1,2020-09-30,0.0,1.0,0.6236315833670756,0.41936804973522823
1,2020-10-01,NaN,NaN,NaN,NaN
1,2020-10-02,NaN,NaN,NaN,NaN
1,2020-10-03,0.3329470455646515,1.0,0.9209172901944218,0.1512827000958175
1,2020-10-04,0.0,1.0,0.6086120405778844,0.37508373051682425
1,2020-10-05,0.0015844726003706455,1.0,0.4752110334630646,0.25972263902450016
1,2020-10-06,NaN,NaN,NaN,NaN
1,2020-10-07,NaN,NaN,NaN,NaN
1,2020-10-08,NaN,NaN,NaN,NaN
1,2020-10-09,NaN,NaN,NaN,NaN
1,2020-10-10,0.0,0.0,0.0,0.0
1,2020-10-11,NaN,NaN,NaN,NaN
1,2020-10-12,NaN,NaN,NaN,NaN
1,2020-10-13,0.0,1.0,0.5865583090782162,0.38229588675013393
1,2020-10-14,NaN,NaN,NaN,NaN
1,2020-10-15,NaN,NaN,NaN,NaN
1,2020-10-16,0.05834996700286865,1.0,0.5482492757835002,0.2858010032811774
1,2020-10-17,NaN,NaN,NaN,NaN
1,2020-10-18,NaN,NaN,NaN,NaN
1,2020-10-19,NaN,NaN,NaN,NaN
1,2020-10-20,NaN,NaN,NaN,NaN
1,2020-10-21,0.823785126209259,0.823785126209259,0.823785126209259,0.0
1,2020-10-22,0.8252232670783997,0.8252232670783997,0.8252232670783997,0.0
1,2020-10-23,0.30569690465927124,1.0,0.8646078204874191,0.20362231292738306
1,2020-10-24,NaN,NaN,NaN,NaN
1,2020-10-25,NaN,NaN,NaN,NaN
1,2020-10-26,NaN,NaN,NaN,NaN
1,2020-10-27,NaN,NaN,NaN,NaN
1,2020-10-28,0.13381165266036987,1.0,0.8251126335378277,0.28175329086195106
1,2020-10-29,NaN,NaN,NaN,NaN
1,2020-10-30,0.0,1.0,0.8279487982118889,0.27405806748477923
1,2020-10-31,0.0,1.0,0.6058066341820664,0.281687422943333
1,2020-11-01,NaN,NaN,NaN,NaN
1,2020-11-02,NaN,NaN,NaN,NaN
1,2020-11-03,1.0,1.0,1.0,0.0
1,2020-11-04,0.0,0.0,0.0,0.0
1,2020-11-05,NaN,NaN,NaN,NaN
1,2020-11-06,0.0,1.0,0.6052780442209134,0.33043084571455605
1,2020-11-07,NaN,NaN,NaN,NaN
1,2020-11-08,0.00840277224779129,0.8224974274635315,0.6373588852276487,0.32145943464559207
1,2020-11-09,0.0,1.0,0.5501552287643479,0.4578405362975834
1,2020-11-10,0.406996488571167,1.0,0.885960863186763,0.2337106840635543
1,2020-11-11,NaN,NaN,NaN,NaN
1,2020-11-12,NaN,NaN,NaN,NaN
1,2020-11-13,0.0,0.952436089515686,0.4335382190957385,0.30789800124698957
1,2020-11-14,0.0,1.0,0.3760871025946388,0.3713783490165459
1,2020-11-15,0.45359179377555847,1.0,0.8633357034789192,0.1805531077709689
1,2020-11-16,0.0,1.0,0.579601940674626,0.39615969304387383
1,2020-11-17,0.0,0.6292224526405334,0.29839090625812975,0.230864609350375
1,2020-11-18,0.0,0.035906147211790085,0.010258899203368596,0.016220743884365847
1,2020-11-19,0.0,1.0,0.5852739232607551,0.3776206685896371
1,2020-11-20,0.0,1.0,0.431817342863454,0.4401804366212487
