date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,NO2
11/25/2020,-46,-13,-45,-63,-42,22,2.69621E-05
11/26/2020,-45,-12,-43,-62,-43,22,2.45528E-05
11/30/2020,-42,-10,-43,-68,-63,25,2.33153E-05
12/2/2020,-44,-10,-43,-61,-41,22,7.44544E-05
12/6/2020,-39,-6,-40,-56,-15,13,2.26118E-05
12/8/2020,-41,-10,-47,-66,-59,26,2.83591E-05
12/9/2020,-45,-13,-43,-62,-40,21,0.000102507
12/11/2020,-41,-5,-37,-62,-38,22,5.96694E-05
12/12/2020,-35,0,-34,-55,-22,15,5.74978E-05
12/13/2020,-35,0,-32,-53,-12,12,9.18461E-05
12/14/2020,-38,-4,-34,-60,-39,19,3.10227E-05
12/15/2020,-36,3,-35,-57,-40,19,2.62802E-05
12/16/2020,-36,5,-33,-57,-38,19,4.75407E-05
12/18/2020,-39,-1,-36,-59,-37,21,2.80158E-05
12/23/2020,-24,25,-28,-50,-40,16,3.78401E-05
12/24/2020,-38,22,-39,-65,-62,22,6.05725E-05
12/25/2020,-62,-39,-50,-79,-72,29,1.75613E-05
12/29/2020,-32,8,-39,-56,-45,20,8.46015E-05
12/30/2020,-34,20,-40,-64,-60,24,6.07575E-05
1/2/2021,-51,-23,-48,-68,-41,20,3.12738E-05
1/4/2021,-43,-8,-39,-62,-39,21,4.3528E-05
1/5/2021,-45,-10,-44,-61,-41,22,1.9134E-05
1/6/2021,-44,-8,-42,-63,-40,23,3.22504E-05
1/7/2021,-45,-11,-42,-62,-40,23,3.77108E-05
1/9/2021,-41,-6,-38,-57,-24,17,4.00665E-05
1/10/2021,-42,-7,-39,-57,-14,14,3.05133E-05
1/11/2021,-43,-10,-38,-61,-39,21,4.39285E-05
1/12/2021,-44,-11,-43,-61,-41,22,7.55596E-05
1/13/2021,-47,-14,-44,-63,-41,21,0.000198184
1/14/2021,-47,-16,-43,-64,-44,20,4.66181E-05
1/15/2021,-47,-15,-43,-66,-43,20,2.93071E-05
1/16/2021,-43,-11,-41,-61,-31,14,2.25938E-05
1/18/2021,-46,-16,-40,-63,-44,19,1.1477E-05
1/19/2021,-48,-18,-46,-64,-46,21,2.07613E-05
1/22/2021,-48,-17,-44,-66,-42,23,0.000105602
1/24/2021,-47,-16,-43,-61,-21,13,5.58389E-05
1/25/2021,-45,-14,-40,-62,-42,19,0.000109107
1/28/2021,-46,-15,-43,-62,-43,21,3.61041E-05
1/29/2021,-43,-8,-39,-63,-40,22,3.53987E-05
1/30/2021,-38,0,-34,-58,-26,15,3.12804E-05
1/31/2021,-39,0,-33,-57,-17,11,2.04586E-05
2/3/2021,-45,-10,-40,-63,-42,21,3.76693E-05
2/4/2021,-46,-13,-40,-63,-42,21,5.73736E-05
2/5/2021,-45,-11,-41,-65,-40,22,4.16471E-05
2/8/2021,-43,-10,-37,-62,-41,19,8.43251E-06
2/11/2021,-39,-4,-35,-58,-41,19,8.53224E-05
2/12/2021,-46,-12,-43,-70,-59,27,5.72569E-05
2/14/2021,-30,3,-19,-55,-15,10,4.63901E-05
2/15/2021,-40,-5,-37,-60,-40,19,7.60389E-05
2/16/2021,-41,-4,-41,-60,-42,20,3.65531E-05
2/17/2021,-43,-6,-40,-62,-40,21,4.72298E-05
2/18/2021,-43,-8,-38,-61,-41,21,4.76979E-05
2/19/2021,-43,-7,-39,-63,-39,22,4.15067E-05
2/20/2021,-39,-2,-32,-58,-25,16,4.58743E-05
2/21/2021,-42,-5,-32,-58,-17,13,5.59982E-05
2/23/2021,-43,-8,-42,-60,-41,21,5.46798E-05
2/24/2021,-42,-4,-37,-59,-39,20,5.71162E-05
2/25/2021,-44,-7,-38,-67,-60,26,5.48834E-05
2/26/2021,-42,-4,-38,-62,-38,22,5.96548E-05
2/27/2021,-37,1,-33,-58,-24,15,6.52143E-05
3/1/2021,-39,0,-35,-59,-39,19,6.70116E-05
3/2/2021,-41,-3,-41,-59,-40,20,6.57443E-05
3/4/2021,-42,-5,-37,-60,-40,21,6.14504E-05
3/5/2021,-42,-4,-37,-62,-38,22,3.48541E-05
3/6/2021,-38,0,-31,-57,-24,15,4.19283E-05
3/7/2021,-40,-2,-28,-57,-15,12,5.25217E-05
3/8/2021,-41,-5,-34,-59,-39,20,3.64922E-05
3/9/2021,-43,-6,-40,-60,-41,21,4.03167E-05
3/10/2021,-43,-4,-39,-61,-40,22,9.84701E-07
3/11/2021,-44,-7,-40,-61,-40,22,2.96383E-05
3/16/2021,-45,-5,-47,-61,-42,23,4.62176E-05
3/17/2021,-47,-7,-46,-63,-41,23,8.09992E-05
3/18/2021,-48,-10,-46,-63,-42,24,4.29525E-05
3/19/2021,-49,-9,-49,-65,-41,25,2.49333E-05
3/20/2021,-46,-6,-47,-61,-27,19,3.07083E-05
3/21/2021,-49,-8,-47,-62,-20,16,1.37917E-05
3/22/2021,-51,-10,-46,-65,-43,24,3.16341E-05
3/23/2021,-53,-12,-53,-67,-46,26,4.21519E-05
3/24/2021,-54,-14,-53,-68,-46,27,3.39205E-05
3/25/2021,-54,-13,-52,-68,-47,27,6.27011E-05
3/26/2021,-55,-14,-53,-70,-45,29,2.87905E-05
3/27/2021,-51,-5,-51,-67,-30,22,2.76851E-05
3/28/2021,-54,-3,-53,-67,-22,19,4.44997E-05
3/29/2021,-70,-34,-64,-79,-59,32,4.04466E-05
3/30/2021,-69,-28,-67,-80,-61,33,5.39041E-05
3/31/2021,-67,-19,-63,-80,-62,33,1.60432E-05
4/1/2021,-79,-38,-72,-88,-78,39,2.64981E-05
4/2/2021,-86,-60,-79,-92,-82,46,2.17995E-05
4/3/2021,-74,-34,-70,-85,-59,32,4.20222E-05
4/4/2021,-72,-29,-66,-81,-40,24,6.78103E-05
4/5/2021,-64,-22,-59,-76,-55,30,4.88963E-05
4/6/2021,-65,-22,-62,-76,-57,31,3.46142E-05
4/7/2021,-66,-23,-61,-77,-57,32,1.87405E-05
4/8/2021,-65,-22,-59,-76,-56,31,4.88885E-05
4/9/2021,-71,-27,-66,-83,-69,38,4.76539E-05
4/10/2021,-66,-23,-61,-78,-44,27,4.33429E-05
4/11/2021,-69,-24,-61,-77,-37,23,2.65289E-05
4/12/2021,-56,-15,-52,-70,-49,27,6.22523E-05
4/14/2021,-56,-13,-54,-71,-50,28,3.65232E-05
4/16/2021,-55,-9,-54,-71,-48,30,7.00949E-05
4/19/2021,-52,-10,-49,-68,-47,26,6.61597E-05
4/22/2021,-55,-12,-52,-69,-48,28,4.86469E-05
4/23/2021,-56,-13,-53,-71,-46,29,5.67688E-05
4/24/2021,-51,-6,-48,-67,-31,22,7.4373E-05
4/25/2021,-54,-7,-47,-67,-25,18,5.2019E-05
