channel,date,min,max,mean,stDev
1,2020-06-20,0.0,0.6711680889129639,0.03742093757918637,0.0947376272800139
1,2020-06-21,0.0,0.5985475778579712,0.012377635679138185,0.05418324178770128
1,2020-06-22,0.0,0.73502117395401,0.010137669856616802,0.05199889828252739
1,2020-06-23,0.0,0.583138644695282,0.02022070929977912,0.0680371836145514
1,2020-06-24,0.0,0.7022264003753662,0.05195346408605581,0.11213173165530411
1,2020-06-25,0.0,1.0,0.08291285935866455,0.18204504723501244
1,2020-06-26,0.0,1.0,0.09123936748859962,0.16633190787048158
1,2020-06-27,0.2229369729757309,0.2581253945827484,0.24570595166262463,0.01681600520787839
1,2020-06-28,0.0,0.9064510464668274,0.07252271282888224,0.14328202214798622
1,2020-06-29,0.0,1.0,0.1024762881971182,0.18230605973657857
1,2020-06-30,0.0,0.9288668036460876,0.032813965062156523,0.09754740086903478
1,2020-07-01,0.0,0.6270615458488464,0.02739192438149324,0.08389480578937715
1,2020-07-02,0.0,1.0,0.1331428707603195,0.21014073631988703
1,2020-07-03,0.0,0.6613341569900513,0.026699790964573505,0.07532143308231777
1,2020-07-04,0.0,0.5069803595542908,0.013545668717012349,0.05776069880763805
1,2020-07-05,0.0,0.5337656736373901,0.015738042485003087,0.060644124184038486
1,2020-07-06,0.0,0.8511185646057129,0.023105166431757595,0.07730410612196471
1,2020-07-07,0.0,0.585856556892395,0.01979430427615518,0.06666670988987954
1,2020-07-08,0.0,0.37279361486434937,0.009762795280680555,0.04397772443132997
1,2020-07-09,0.0,0.9958158135414124,0.029312700580726873,0.09011301444961156
1,2020-07-10,0.0,0.6413544416427612,0.04520386062727948,0.11000054557371534
1,2020-07-11,0.0,1.0,0.043236549806006115,0.10792862073702786
1,2020-07-12,0.0,1.0,0.020594047554263632,0.08860562822254354
1,2020-07-13,0.0,0.8511789441108704,0.014296702406046706,0.06986950287053112
1,2020-07-14,0.0,0.9591760039329529,0.012071348611215468,0.06032345044068024
1,2020-07-15,0.0,1.0,0.054768444308317676,0.1276476629272526
1,2020-07-16,0.0,0.7621251344680786,0.027062457343172072,0.0803265281710152
1,2020-07-17,0.0,1.0,0.02619552134892877,0.09270827374526763
1,2020-07-18,0.0,1.0,0.024705732945568146,0.08205620428475496
1,2020-07-19,0.0,1.0,0.05069199882228184,0.11789268615951168
1,2020-07-20,0.0,0.23468297719955444,0.00013264278081525027,0.005577760177566673
1,2020-07-21,0.0,0.736399233341217,0.011171602818230616,0.0581455406839253
1,2020-07-22,0.0,0.8875327110290527,0.02991902150707986,0.09087214716991435
1,2020-07-23,0.0,0.45028606057167053,0.01711236593658911,0.05579224475577753
1,2020-07-24,0.0,0.5686708092689514,0.012449643984127427,0.06194559834903982
1,2020-07-25,0.0,0.5599737167358398,0.014213544360479708,0.06074032755710854
1,2020-07-26,0.0,0.9137358665466309,0.04328932419534404,0.12042490273559929
1,2020-07-27,0.0,1.0,0.08472445698159368,0.15026972874337052
